sample	gex_data	gex_data_type	vdj_data	day	tissue	treatment
D10-Ln-Na	/aaa/louisyuzhao/project2/immuneDataSet/GEX_VDJ/Result/GSE178881/D10-Ln-Na-GEX/outs/filtered_feature_bc_matrix	10x_matx	/aaa/louisyuzhao/project2/immuneDataSet/GEX_VDJ/Result/GSE178881/D10-Ln-Na-TCR/outs/filtered_contig_annotations.csv	D10	lymphNode	naive
D10-Sp-Na	/aaa/louisyuzhao/project2/immuneDataSet/GEX_VDJ/Result/GSE178881/D10-Sp-Na-GEX/outs/filtered_feature_bc_matrix	10x_matx	/aaa/louisyuzhao/project2/immuneDataSet/GEX_VDJ/Result/GSE178881/D10-Sp-Na-TCR/outs/filtered_contig_annotations.csv	D10	spleen	naive
D10-Tm-Na	/aaa/louisyuzhao/project2/immuneDataSet/GEX_VDJ/Result/GSE178881/D10-Tm-Na-GEX/outs/filtered_feature_bc_matrix	10x_matx	/aaa/louisyuzhao/project2/immuneDataSet/GEX_VDJ/Result/GSE178881/D10-Tm-Na-TCR/outs/filtered_contig_annotations.csv	D10	tumor	naive
D20-Ln-Na	/aaa/louisyuzhao/project2/immuneDataSet/GEX_VDJ/Result/GSE178881/D20-Ln-Na-GEX/outs/filtered_feature_bc_matrix	10x_matx	/aaa/louisyuzhao/project2/immuneDataSet/GEX_VDJ/Result/GSE178881/D20-Ln-Na-TCR/outs/filtered_contig_annotations.csv	D20	lymphNode	naive
D20-Ln-Neo	/aaa/louisyuzhao/project2/immuneDataSet/GEX_VDJ/Result/GSE178881/D20-Ln-Neo-GEX/outs/filtered_feature_bc_matrix	10x_matx	/aaa/louisyuzhao/project2/immuneDataSet/GEX_VDJ/Result/GSE178881/D20-Ln-Neo-TCR/outs/filtered_contig_annotations.csv	D20	lymphNode	neoantigenVaccine
D20-Ln-NeoPD	/aaa/louisyuzhao/project2/immuneDataSet/GEX_VDJ/Result/GSE178881/D20-Ln-NeoPD-GEX/outs/filtered_feature_bc_matrix	10x_matx	/aaa/louisyuzhao/project2/immuneDataSet/GEX_VDJ/Result/GSE178881/D20-Ln-NeoPD-TCR/outs/filtered_contig_annotations.csv	D20	lymphNode	neoantigenVaccine_aPDL1
D20-Ln-PD	/aaa/louisyuzhao/project2/immuneDataSet/GEX_VDJ/Result/GSE178881/D20-Ln-PD-GEX/outs/filtered_feature_bc_matrix	10x_matx	/aaa/louisyuzhao/project2/immuneDataSet/GEX_VDJ/Result/GSE178881/D20-Ln-PD-TCR/outs/filtered_contig_annotations.csv	D20	lymphNode	aPDL1
D20-Sp-Na	/aaa/louisyuzhao/project2/immuneDataSet/GEX_VDJ/Result/GSE178881/D20-Sp-Na-GEX/outs/filtered_feature_bc_matrix	10x_matx	/aaa/louisyuzhao/project2/immuneDataSet/GEX_VDJ/Result/GSE178881/D20-Sp-Na-TCR/outs/filtered_contig_annotations.csv	D20	spleen	naive
D20-Tm-Na	/aaa/louisyuzhao/project2/immuneDataSet/GEX_VDJ/Result/GSE178881/D20-Tm-Na-GEX/outs/filtered_feature_bc_matrix	10x_matx	/aaa/louisyuzhao/project2/immuneDataSet/GEX_VDJ/Result/GSE178881/D20-Tm-Na-TCR/outs/filtered_contig_annotations.csv	D20	tumor	naive
D20-Tm-Neo	/aaa/louisyuzhao/project2/immuneDataSet/GEX_VDJ/Result/GSE178881/D20-Tm-Neo-GEX/outs/filtered_feature_bc_matrix	10x_matx	/aaa/louisyuzhao/project2/immuneDataSet/GEX_VDJ/Result/GSE178881/D20-Tm-Neo-TCR/outs/filtered_contig_annotations.csv	D20	tumor	neoantigenVaccine
D20-Tm-NeoPD	/aaa/louisyuzhao/project2/immuneDataSet/GEX_VDJ/Result/GSE178881/D20-Tm-NeoPD-GEX/outs/filtered_feature_bc_matrix	10x_matx	/aaa/louisyuzhao/project2/immuneDataSet/GEX_VDJ/Result/GSE178881/D20-Tm-NeoPD-TCR/outs/filtered_contig_annotations.csv	D20	tumor	neoantigenVaccine_aPDL1
D20-Tm-PD	/aaa/louisyuzhao/project2/immuneDataSet/GEX_VDJ/Result/GSE178881/D20-Tm-PD-GEX/outs/filtered_feature_bc_matrix	10x_matx	/aaa/louisyuzhao/project2/immuneDataSet/GEX_VDJ/Result/GSE178881/D20-Tm-PD-TCR/outs/filtered_contig_annotations.csv	D20	tumor	aPDL1
